abid q. raja|v
anders anundsen|frp
anders b. werp|h
anders c sjaastad|h
anders c. sjaastad|h
anders hornslien|a
anders tyvand|krf
ane sofie tømmerås|a
anette trettebergstuen|a
anita apelthun sæle|krf
anita orlund|a
anna ljunggren|a
anne berit andersen|h
anne brit stråtveit|krf
anne enger lahnstein|sp
anne helen rui|a
anne karin olli|h
anne margrethe larsen|v
anne margrethe|UNK
anne tingelstad wøien|sp
anneliese dørum|a
annelise høegh|h
anniken huitfeldt|a
ansgar gabrielsen|h
are næss|krf
arild grande|a
arild hiim|h
arild lund|h
arne haukvik|uav
arne l. haugen|a
arne lyngstad|krf
arne sortevik|frp
arve kambe|h
arve lønnum|frp
arvid falch|tf
arvid vegger|sp
asmund kristoffersen|a
astri wessel|krf
astrid marie nistad|a
athar ali|rv
aud blattmann|a
aud folkestad|v
aud gaundal|a
aud kvalbein|krf
audun bjørlo lysbakken|sv
audun blegen|h
audun lysbakken|sv
bendiks h arnesen|a
bendiks h. arnesen|h
benn mikalsen|tf
bent hegna|a
bent høie|h
bente gunn håtuft|h
bente stein mathisen|h
bente thorsen|frp
bente øyan sveum|frp
berit brørby|a
berit kvæven|v
berit skaug|sp
bjarne håkon hanssen|a
bjørg hope galtung|sp
bjørg tørresdal|krf
bjørgulv froyn|a
bjørn hernæs|h
bjørn jacobsen|sv
bjørn lothe|sv
bjørn lødemel|h
bjørnar olsen|a
borghild hillestad|sp
borghild tenden|v
britt hildeng|a
bror ynge rahm|krf
bror yngve rahm|krf
bård fredriksen|h
bård hoksrud|frp
bård vegar solhjell|sv
børge brende|h
børre rognlien|h
børre rønningen|sv
camilla storøy hermansen|krf
carl i hagen|frp
carl i. hagen|frp
carsten dybevig|h
christian tybring-gjedde|frp
christian tynning bjørnø|a
christopher stensaker|frp
dag c weberg|h
dag c. weberg|h
dag danielsen|frp
dag jostein fjærvoll|krf
dag terje andersen|a
dagfinn sundsbø|sp
dagny g|UNK
dagrun eriksen|krf
edvard grimstad|sp
eigil knutsen|a
eilef a meland|sv
eilef a. meland|sv
einar holstad|krf
einar johansen|a
einar olav skogholt|a
einar steensnæs|krf
eirik langeland fjeld|sv
eirik sivertsen|a
eirin faldet|a
eirin sund|a
eldbjørg løwer|UNK
eli sollied øveraas|sp
elisabeth aspaker|h
elisabeth røbekk nørve|h
elizabeth skogrand|h
ellen chr christiansen|uavh
ellen chr. christiansen|frp
elsa skarbøvik|krf
else-may botten|a
erik dalheim|a
erik solheim|sv
erlend grimstad|sp
erling folkvord|rv
erna solberg|h
eva heir|sv
eva kristin hansen|a
eva lian|sp
eva m. nielsen|a
eva r finstad|h
eva r. finstad|h
ferhat g|UNK
finn kristian marthinsen|krf
finn martin vallersnes|h
finn martin|UNK
frank bakke jensen|h
frank bakke-jensen|h
frank willy larsen|a
freddy de ruiter|a
fredric holen bjørdal|a
fredrik f|UNK
fridtjof frank gundersen|frp
frode hervik|v
gard folkvord|a
geir inge lien|sp
geir jørgen bekkevold|krf
geir pollestad|sp
geir thoresen|uavh
geir-ketil hansen|sv
gerd eli berge|sp
gina knutson barstad|sv
gjermund hagesæter|frp
grete knudsen|a
grethe fossli|a
grethe g fossum|a
grethe g. fossum|a
grunner breimo|a
gudmund restad|sp
gunhild berge stang|v
gunhild øyangen|a
gunn berit gjerde|v
gunn elin flakne|a
gunn karin gjul|a
gunn olsen|a
gunn-vivian eide|v
gunnar breimo|a
gunnar fatland|h
gunnar gundersen|h
gunnar halvorsen|a
gunnar kvassheim|v
gunnar mathisen|a
gunvald ludvigsen|v
haakon blankenborg|a
hadia tajik|a
hallgeir h langeland|sv
hallgeir h. langeland|sv
hallgrim berg|h
hallvard bakke|a
hanne c.s. iversen|frp
hanne dyveke søttar hagen|frp
hanne dyveke søttar|frp
hans fredrik grøvan|krf
hans frode kielland asmyhr|frp
hans gjeisar kjæstad|UNK
hans j røsjorde|frp
hans j. røsjorde|frp
hans kristian hogsnes|h
hans olav syversen|krf
hans olav|UNK
hans r. kjæstad|h
hans seierstad|sp
harald ellefsen|h
harald hove|v
harald solberg|krf
harald t. nesvik|frp
harald tom nesvik|frp
harald valved|frp
harald victor hove|h
hege haukeland liadal|a
heidi grande røys|sv
heidi greni|sp
heidi sørensen|sv
heikki eidsvoll holmås|sv
heikki holmås|sv
helene falch fladmark|v
helga eggebø|sv
helga pedersen|a
helga rullestad|a
helge bjørnsen|sv
henning skumsvoll|frp
henning warloe|h
henrik asheim|h
henrik rød|frp
hilde bergebakken|sv
hilde frafjord johnsen|krf
hilde frafjord johnson|krf
hill-marta solberg|a
håkon giil|sp
ib thomsen|frp
ida marie holen|frp
ine m. eriksen søreide|h
ine marie eriksen|h
inga balstad|a
inga kvalbukt|sp
inga marte thorkildsen|sv
inge hallgeir solli|v
inge lønning|h
inge myrvoll|sv
inge ryan|sv
inge staldvik|sv
ingebjørg godskesen|frp
ingebrigt s. sørfonn|krf
inger lise husøy|a
inger s. enger|sp
inger stolt-nielsen|h
inger-marie ytterhorn|frp
ingjerd schou|h
ingjerd thon hagaseth|v
ingmar ljones|krf
ingrid fiskaa|sv
ingrid heggø|a
ingrid i. opedal|sv
ingrid kjerkol|a
ingunn e. ulfsten|krf
ingunn gjerstad|sv
ingvald godal|h
ingvild kjerkol|a
ingvild vaggen malvik|sv
irene johansen|a
iselin nybø|v
ivar b. prestbakmo|sp
ivar kristiansen|h
ivar odnes|sp
ivar østberg|krf
jacob nødseth|h
jan arild ellingsen|frp
jan arild|UNK
jan bøhler|a
jan johnsen|h
jan koløy|frp
jan otto fredagsvik|a
jan petersen|h
jan petter rasmussen|a
jan sahl|krf
jan simonsen|frp
jan tore sanner|h
jan tore|UNK
jan-henrik fredriksen|frp
janne sjelmo nordås|sp
jarle skartun|sp
jenny ellaug følling|sp
jenny følling|sp
jenny klinge|sp
jette f. christensen|a
johan j jakobsen|sp
johan j. jakobsen|sp
johan m. nyland|a
johanne gaup|sp
john alvheim|frp
john dale|sp
john i alvheim|frp
john i. alveim|frp
john i. alvheim|frp
john-arne balto|sp
john. i. alvheim|frp
johnny hult|frp
johnny ingebrigtsen|sv
jon bakken|sv
jon georg dale|frp
jon jæger gåsvatn|frp
jon lilletun|krf
jon olav alstad|a
jonni helge solsvik|h
jorid avdem|sp
jorunn hageler|sv
jorunn ringstad|sp
julie christensen|h
julie christiansen|h
jørgen holte|sp
jørn l stang|frp
jørn l. stang|frp
jørund leknes|sv
jørund rytman|frp
kaci kullmann five|h
kari henriksen|a
kari kjønaas kjos|frp
kari kjønaas|UNK
kari lise holmberg|h
kari lise|UNK
kari meløy|sv
kari storstrand|frp
kari økland|krf
karianne o. tung|a
karin andersen|sv
karin galaaen|sp
karin kjølmoen|a
karin lian|a
karin s. woldseth|frp
karita bekkemellem orheim|a
karl anton swensen|kp
karl eirik schjøtt-pedersen|a
karl-anton swensen|kp
kenneth svendsen|frp
kent gudmundsen|h
kent inge stenberg ryen|sp
ketil kjenseth|v
ketil solvik olsen|frp
ketil solvik-olsen|frp
ketil solvik|UNK
khalid mahmood|a
kirsti bergstø|sv
kirsti kolle grøndahl|UNK
kirsti saxi|sv
kjell arvid svendsen|krf
kjell engebretsen|a
kjell ingolf ropstad|krf
kjell magne bondevik|krf
kjell opseth|a
kjell-idar juvik|a
kjellaug nakkim|h
kjellbjørg lunde|sv
kjersti toppe|sp
kjetil bjørklund|sv
knut arild hareide|krf
knut storberget|a
knut werner hansen|a
kristin halvorsen|sv
kristin krohn devold|h
kristin vinje|h
kåre fostervold|frp
kåre simensen|a
laila dåvøy|krf
laila kaland|a
laila marie reiertsen|frp
lars arne ryssdal|h
lars bjarne tvete|h
lars egeland|sv
lars gunnar lie|krf
lars joakim hanssen|frp
lars myraune|h
lars rise|krf
lars sponheim|v
leif christian johansen|krf
leif helge kongshaug|v
leif lund|a
lena jensen|sv
lene vågslid|a
linda c. hofstad helleland|h
linda cathrine hofstad|h
line henriette hjemdal|krf
line henriette holten hjemdal|krf
line henriette holten|UNK
line henriette|UNK
linn laupsa|sv
lisbet rugtvedt|sv
lisbeth berg-hansen|a
lisbeth holand|sv
lise christoffersen|a
liv marit moland|a
liv signe navarsete|sp
lodve solholm|frp
magnar lund bergo|sv
magnar sortåsløkken|sv
magne aarøen|krf
magne rommetveit|a
magnhild afseth olrud|h
magnhild meltveit kleppa|sp
magnhild meltveit|UNK
magnus stangeland|sp
mai gythfeldt|rv
mange rommetveit|a
mani hussaini|a
margaret eide hillestad|sp
marianne aasen|a
marion gunstveit bojanowski|krf
marit arnstad|sp
marit lefdal|a
marit nybakk|a
marit tingelstad|sp
marthe scharning lund|a
martin engeset|h
martin henriksen|a
martin stavrum|sp
may britt vihovde|v
may hansen|sv
may-helen molvær grimstad|krf
may-helen molvær|UNK
mette gundersen|a
mette hanekamhaug|frp
michael tetzschner|h
mimmi bæivi|a
modulf aukan|krf
morten høglund|frp
morten lund|sp
morten olsen|a
morten ørsal johansen|frp
nikolai astrup|h
norunn tveiten benestad|h
odd einar dørum|v
odd einar|UNK
odd eriksen|a
odd holten|krf
odd omland|a
odd roger enoksen|sp
oddbjørg ausdal starrfelt|a
oddbjørg austal starrfelt|a
oddbjørn ausdal starrfelt|a
oddvard nilsen|h
ola borten moe|sp
ola d gløtvold|sp
ola d. gløtvold|sp
ola elvestuen|v
ola røtvei|a
ola s. apeland|sp
ola t lånke|krf
ola t. heggem|sp
ola t. lånke|krf
olaf gjedrem|krf
olaug v. bollestad|krf
olav akselsen|a
olav einar skogholt|a
olav gunnar ballo|sv
ole johs brunæs|h
ole johs. brunæs|h
olemic thommessen|h
oscar d hillgaar|uavh
oscar d. hillgaar|uavh
oskar j. grimstad|frp
oskar jarle grimstad|frp
ottar kaldhol|a
paul chaffey|sv
per arne olsen|frp
per erik monsen|frp
per olaf lundteigen|sp
per ove width|frp
per roald bredvold|frp
per roar bredvold|frp
per roar|UNK
per rune henriksen|a
per sandberg|frp
per steinar osmundnes|krf
per-kristian foss|h
per-willy amundsen|frp
peter angelsen|sp
peter n. myhre|frp
peter skovholt gitmark|h
peter skovholt|UNK
petter løvik|h
pål farstad|v
ragna flotve|sv
ragnhild queseth haarstad|sp
randi karlstrøm|krf
ranveig frøiland|a
rasmus hansson|mdg
raymond robertsen|h
reidar johansen|sv
reidar sandal|a
reidun gravdahl|a
reidun gravdal|a
representanten harald victor|UNK
rigmor aasrud|a
rigmor andersen eide|krf
rigmor kofoed-larsen|krf
rikke lind|a
rita h roaldsen|sp
rita h. roaldsen|sp
rita tveiten|a
robert eriksson|frp
roger gudmundseth|a
rolf ketil bjørn|sv
rolf reikvam|sv
rolf terje klungland|a
rolv reikvam|sv
roy n wetterstad|frp
roy n. wetterstad|frp
rune e kristiansen|a
rune e. kristiansen|a
rune j. skjælaaen|sp
rune skjælaaen|sp
ruth grung|a
ruth mari grung|a
shabaz tariq|a
shahbaz tariq|a
sigbjørn molvik|sv
sigmund steinnes|a
signe øye|a
sigrun eng|a
sigurd manneråk|sp
sigvald oppebøen hansen|a
siri a. meling|h
siri engesæth|v
siri frost sterri|h
siri hall arnøy|sv
siri myrvoll|v
sissel dagslet|frp
sissel rønbeck|UNK
siv elin hansen|sv
siv jensen|frp
snorre serigstad valen|sv
snøfrid skaare|h
solveig horne|frp
solveig sollie|krf
solveig torsvik|a
sonja irene sjøli|h
sonja mandt-bartholsen|a
sonja mandt|a
sonja sjøli|h
stein erik lauvås|a
steinar bastesen|tf
steinar gullvåg|a
steinar reiten|krf
stephen bråthen|frp
stine renate håheim|a
svein flåtten|h
svein harberg|h
svein ludvigsen|h
svein roald hansen|a
sveinung rotevatn|v
sverre hoddevik|h
sverre j hoddevik|h
sverre j. hoddevik|h
sverre myrli|a
sylvi graham|h
sylvia brustad|a
sylvia kristin brustad|a
synnøve konglevoll|a
syver berge|sp
søren fredrik voie|h
tage pettersen|h
terje aasland|a
terje breivik|v
terje halleland|frp
terje johansen|v
terje knudsen|frp
terje riis-johansen|sp
terje sandkjær|sp
terje søviknes|frp
thomas smedsrud|h
thore a. nistad|frp
thore aksel nistad|frp
thorhild widvey|h
tina bru|h
tom harald nesvik|frp
tom staahle|frp
tomas norvoll|a
tone-helen toften|a
tor nymo|sp
tor sigbjørn utsogn|frp
tor-arne strøm|a
torbjørn andersen|frp
torbjørn hansen|h
torbjørn røe isaksen|h
tord lien|frp
tore a liltved|h
tore a. liltved|h
tore hagebakken|a
tore nordtun|a
torgeir dahl|h
torgeir knag fylkesnes|sv
torgeir micaelsen|a
torgeir trældal|frp
torkil åmland|frp
torny pedersen|a
torstein rudihagen|a
torstein tvedt solberg|a
tove kari viken|sp
tove karoline knutsen|a
trine skei grande|v
tron erik hovind|sp
trond giske|a
trond helleland|h
trond mathisen|a
truls wickholm|a
trygve slagsvold vedum|sp
ulf erik knudsen|frp
une aina bastholm|mdg
unn aarrestad|sp
unni hennum lie|krf
ursula evje|frp
utanriksminister bjørn tore godal|UNK
utenriksminister bjørn tore godal|UNK
utenriksminister børge brende|UNK
utenriksminister espen barth eide|UNK
utenriksminister jan petersen|UNK
utenriksminister johan jørgen holst|UNK
utenriksminister jonas gahr støre|UNK
utenriksminister jonas gahr|UNK
utenriksminister jonas|UNK
utenriksminister knut vollebæk|UNK
utenriksminister thorbjørn jagland|UNK
utenriksministeren bjørn tore godal|UNK
valgerd svarstad haugland|krf
vegard bye|sv
vera lysklætt|v
victor d. norman|UNK
vidar bjørnstad|a
vidar kleppe|frp
vigdis giltun|frp
werner christie|UNK
willfred nordlund|sp
william engseth|a
åge austheim|frp
åge starheim|frp
ågot valle|sv
åsa elvik|sv
åse gunhild woie duesund|krf
åse kleveland|UNK
åse m. schmidt|frp
åse michaelsen|frp
åse wisløff nilsen|krf
åse wisløff nilssen|krf
åse wisløff|UNK
åshild karoline haugland|frp
åslaug haga|sp
åsmund aukrust|a
øystein djupedal|sv
øystein hedstrøm|frp
øyvind halleraker|h
øyvind håbrekke|krf
øyvind korsberg|frp
øyvind vaksdal| frp
